"Id","EZI_ADD","Geographical.Coordinate","Archetype","BDIAgentType","HasDependents","WillGoHomeAfterVisitingDependents","WillGoHomeBeforeLeaving","WillStay","ResponseThresholdInitial","ResponseThresholdFinal","ImpactFromVisibleSmoke","ImpactFromImmersionInSmoke","ImpactFromVisibleEmbers","ImpactFromVisibleFire","ImpactFromVisibleResponders","ImpactFromMessageAdvice","ImpactFromMessageWatchAndAct","ImpactFromMessageEmergencyWarning","ImpactFromMessageEvacuateNow","ImpactFromMessageRespondersAttending","ImpactFromFireDangerIndexRating","ImpactFromSocialMessage","LagTimeInMinsForInitialResponse","LagTimeInMinsForFinalResponse","HasDependentsAtLocation"
81,"1567 LITTLE YARRA ROAD POWELLTOWN 3797","[145.74323135999995, -37.86038565908531]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","true","false",0.28,0.53,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,9.04,7.54,"[145.73814106999995, -37.82499610908552]"
82,"4 BLAKE STREET POWELLTOWN 3797","[145.75232535999996, -37.863763789085255]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.32,0.19,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.41,9.63,"[145.65340655999998, -37.82135848908562]"
83,"1780 LITTLE YARRA ROAD POWELLTOWN 3797","[145.76463460099998, -37.86663379208521]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.39,0.28,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.33,9.84,""
84,"20 MESSMATE CLOSE POWELLTOWN 3797","[145.75944931, -37.86654589908524]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.23,0.34,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.31,9.96,""
85,"4 SURREY ROAD POWELLTOWN 3797","[145.75450392000002, -37.86605679908525]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.4,0.19,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.85,11.09,"[145.69509426, -37.852492919085314]"
86,"1535 LITTLE YARRA ROAD POWELLTOWN 3797","[145.7393858, -37.86026650908524]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.46,0.46,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,12.97,11.4,""
87,"7 SURREY ROAD POWELLTOWN 3797","[145.75496946999996, -37.865334329085265]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.32,0.39,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.87,8.22,"[145.75303757999993, -37.865408199085216]"
88,"23 YARRA STREET POWELLTOWN 3797","[145.75017707999993, -37.8646673290852]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.28,0.18,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.57,11.02,"[145.66745606999993, -37.8310297490855]"
89,"8 SURREY ROAD POWELLTOWN 3797","[145.75528523999998, -37.86524984908521]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.47,0.35,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.97,9.57,""
90,"33 YARRA STREET POWELLTOWN 3797","[145.74934863999997, -37.86435281908522]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.27,0.14,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,11.9,12.75,"[145.75320312999992, -37.86314695908528]"
91,"1652 LITTLE YARRA ROAD POWELLTOWN 3797","[145.75235513999993, -37.863366319085266]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.38,0.31,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.57,10.35,"[145.64857583, -37.816244529085644]"
92,"1755 LITTLE YARRA ROAD POWELLTOWN 3797","[145.76207538000003, -37.866326249085205]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.18,0.2,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.53,12.3,"[145.64990311799997, -37.8190261870856]"
93,"MT BAW BAW TOURIST ROAD POWELLTOWN 3797","[145.77199439, -37.849388249085386]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.11,0.36,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,10.39,10.09,""
94,"10 SURREY ROAD POWELLTOWN 3797","[145.75577424000002, -37.86569241908525]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.3,0.18,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.75,7.18,"[145.64577100999995, -37.81378760908571]"
95,"1637 LITTLE YARRA ROAD POWELLTOWN 3797","[145.75040188, -37.86257050908527]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.18,0.27,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,17.11,9.75,"[145.74303323, -37.8580869390853]"
96,"4 BLAKE STREET POWELLTOWN 3797","[145.75232535999996, -37.863763789085255]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.27,0.34,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,12.38,13.56,"[145.64634862, -37.830353319085475]"
97,"1647 LITTLE YARRA ROAD POWELLTOWN 3797","[145.7514898299999, -37.862771319085226]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.28,0.29,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,12.75,7.9,"[145.75663264999997, -37.86589004908524]"
98,"25 YARRA STREET POWELLTOWN 3797","[145.74995641999996, -37.86471594908527]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.37,0.22,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,19.96,14.9,""
99,"20 EUCALYPTUS DRIVE POWELLTOWN 3797","[145.74158341999993, -37.862787419085286]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","true","false",0.29,0.09,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,17.25,13.06,"[145.667804,-37.791233]"
100,"1645 LITTLE YARRA ROAD POWELLTOWN 3797","[145.75128539, -37.86276013908523]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.33,0.23,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,19.18,9.59,""
101,"9 YARRA STREET POWELLTOWN 3797","[145.75174919999992, -37.86499272908522]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","true","false",0.34,0.22,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,11.82,9.68,""
102,"15 BLAKE STREET POWELLTOWN 3797","[145.75288198999996, -37.86568516908523]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.25,0.25,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.45,9.03,""
103,"29 YARRA STREET POWELLTOWN 3797","[145.74945334999992, -37.86463341908527]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.34,0.37,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.39,9.57,"[145.624339,-37.764480]"
104,"11 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69081274999994, -37.85345988908533]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.4,0.39,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,11.81,10.26,""
105,"775 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.67056676, -37.83079162908556]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.12,0.24,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.56,11.75,""
106,"MANNAGUM ROAD THREE BRIDGES 3797","[145.65307768, -37.872717649085196]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","true","false",0.13,0.32,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.17,9.41,"[145.633158,-37.772846]"
107,"80 COLES ROAD THREE BRIDGES 3797","[145.68494148, -37.83968109908548]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.29,0.22,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.19,11.63,"[145.648041,-37.782563]"
108,"21 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69041432999992, -37.85542020908532]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.18,0.34,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.47,10.53,""
109,"MOUNT BEENAK ROAD THREE BRIDGES 3797","[145.67769674999997, -37.8780408390851]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.34,0.3,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,20.47,6.51,""
110,"75 COLES ROAD THREE BRIDGES 3797","[145.6845067499999, -37.84052858908546]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.32,0.3,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,17.63,1.53,"[145.673044,-37.812509]"
111,"41 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.68978850999994, -37.85866679908529]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.36,0.33,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,19.72,11.29,"[145.629604,-37.784172]"
112,"BLACKSANDS ROAD THREE BRIDGES 3797","[145.67038504, -37.829989799085546]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.21,0.38,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,10.23,8.91,"[145.662493,-37.785170]"
113,"195 MT BRIDE ROAD THREE BRIDGES 3797","[145.7344725299999, -37.821227389085585]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.33,0.32,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,22.11,8.58,""
114,"BLACKSANDS ROAD THREE BRIDGES 3797","[145.67923785999992, -37.83133395908551]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.31,0.32,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.81,6.89,"[145.646737,-37.789965]"
115,"3 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69112872000002, -37.85166087908537]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","true","false",0.2,0.49,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.45,11.41,""
116,"1010 LITTLE YARRA ROAD THREE BRIDGES 3797","[145.68529813999996, -37.845881919085386]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.29,0.26,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.1,9.17,""
117,"31 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69009879999996, -37.857192189085296]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.26,0.22,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.63,11.2,""
118,"15 MANNAGUM ROAD THREE BRIDGES 3797","[145.68715795999998, -37.84914331908537]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.4,0.45,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.1,8.32,""
119,"5 HACKETTS CREEK ROAD THREE BRIDGES 3797","[145.69105463999992, -37.851993519085376]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.32,0.27,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,18.05,8.47,""
120,"515 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64984891999993, -37.81723531908562]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.29,0.36,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,4.8,8.86,"[145.737994,-37.818508]"
121,"80 PRICES ROAD GLADYSDALE 3797","[145.63421621999996, -37.84003701908548]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","true","false",0.02,0.22,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,19.93,11.07,"[145.626381,-37.812450]"
122,"10 PRICES ROAD GLADYSDALE 3797","[145.64148992999998, -37.84063660908541]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.23,0.26,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.49,10.5,"[145.621966,-37.798903]"
123,"610 HAZELDENE ROAD GLADYSDALE 3797","[145.63575111999998, -37.86282062908524]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.22,0.47,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,12.53,11.62,""
124,"532 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64990311799997, -37.8190261870856]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","true","false",0.46,0.4,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,17.59,7.87,"[145.635522,-37.813662]"
125,"46 HAZELDENE ROAD GLADYSDALE 3797","[145.6504281799999, -37.826371609085555]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.34,0.04,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.72,10.27,""
126,"420 TARRANGO ROAD GLADYSDALE 3797","[145.65530367999995, -37.811803609085686]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.37,0.24,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.79,11.72,""
127,"355 PRICES ROAD GLADYSDALE 3797","[145.62964568999993, -37.85304316908532]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.22,0.17,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.42,8.41,""
128,"503 LITTLE YARRA ROAD GLADYSDALE 3797","[145.6486234699999, -37.81590544908562]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.24,0.39,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,9.27,12.99,"[145.664685,-37.831738]"
129,"480A LITTLE YARRA ROAD GLADYSDALE 3797","[145.64775739799992, -37.816050457085645]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","true","false",0.29,0.38,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,10.33,10.63,"[145.653640,-37.783821]"
130,"425 TARRANGO ROAD GLADYSDALE 3797","[145.65554354399998, -37.81269679808563]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.32,0.25,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,18.93,7.1,""
131,"40 RYMERS ROAD GLADYSDALE 3797","[145.64346538999993, -37.862450139085276]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.23,0.22,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.66,8.17,""
132,"HAZELDENE ROAD GLADYSDALE 3797","[145.65226689999994, -37.85984023908526]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","true","false",0.28,0.3,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,11.81,8.75,"[145.628719,-37.766677]"
133,"760 LITTLE YARRA ROAD GLADYSDALE 3797","[145.6687501899999, -37.8313388890855]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.22,0.36,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.36,9.4,""
134,"18 HAZELDENE ROAD GLADYSDALE 3797","[145.652672786, -37.824993180085585]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.5,0.23,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,17.4,14.52,"[145.673292,-37.811331]"
135,"180 HAZELDENE ROAD GLADYSDALE 3797","[145.6425751199999, -37.835987829085475]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.21,0.21,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.11,10.2,""
136,"180 HAZELDENE ROAD GLADYSDALE 3797","[145.6425751199999, -37.835987829085475]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.19,0.06,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.64,12.08,"[145.668197,-37.793521]"
137,"HAZELDENE ROAD GLADYSDALE 3797","[145.65392695399996, -37.824248975085574]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","true","false",0.41,0.39,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,18.02,8.74,""
138,"470 HAZELDENE ROAD GLADYSDALE 3797","[145.64212475999997, -37.85745073908528]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.23,0.37,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.13,11.39,""
139,"521 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64984479999993, -37.817606379085575]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.42,0.45,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,14.19,8.15,""
140,"10-145 ST BENEDICTS DRIVE GLADYSDALE 3797","[145.65226689999994, -37.85984023908526]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","true","false","false",0.47,0.3,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,11.77,8.74,"[145.631012,-37.769870]"
141,"467 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64665153999997, -37.813773889085645]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.35,0.18,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.54,9.66,""
142,"750A LITTLE YARRA ROAD GLADYSDALE 3797","[145.667648726, -37.835574296085476]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.43,0.14,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,19.63,9.17,""
143,"495 PARKINSONS ROAD GLADYSDALE 3797","[145.63327460999992, -37.826052029085574]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.1,0.31,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.6,11.01,""
144,"65C ST BENEDICTS DRIVE GLADYSDALE 3797","[145.65029790999992, -37.86102152908529]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.25,0.23,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.15,11.52,""
145,"512 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64902679999997, -37.817339009085636]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.32,0.11,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.02,10.87,""
146,"455 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64546404999996, -37.81285896908566]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.27,0.32,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,7.54,12.8,"[145.635522,-37.813662]"
147,"655 HAZELDENE ROAD GLADYSDALE 3797","[145.62947018, -37.86338555908521]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.33,0.28,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.54,13.24,""
148,"480A LITTLE YARRA ROAD GLADYSDALE 3797","[145.64775739799992, -37.816050457085645]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","true","false",0.11,0.33,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,19.77,9.83,"[145.672943,-37.802765]"
149,"HAZELDENE ROAD GLADYSDALE 3797","[145.65392695399996, -37.824248975085574]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","true","false",0.21,0.27,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.65,9.74,""
150,"580 PARKINSONS ROAD GLADYSDALE 3797","[145.64257045999994, -37.82829289908556]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.3,0.34,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.85,11.47,"[145.631878,-37.769725]"
151,"400 PARKINSONS ROAD GLADYSDALE 3797","[145.62632993199995, -37.825848613085526]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.43,0.3,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,9.35,10.33,""
152,"515 LITTLE YARRA ROAD GLADYSDALE 3797","[145.64984891999993, -37.81723531908562]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.21,0.27,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,18.28,10.51,"[145.636333,-37.826540]"
153,"28 HAZELDENE ROAD GLADYSDALE 3797","[145.65154098000002, -37.82567487908557]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.27,0.39,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,19.73,11.62,""
154,"655 HAZELDENE ROAD GLADYSDALE 3797","[145.62947018, -37.86338555908521]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","true","false","false","false",0.2,0.25,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.58,11.28,"[145.633836,-37.772056]"
155,"435 LITTLE YARRA ROAD GLADYSDALE 3797","[145.6435175, -37.81205092908565]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.16,0.5,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,12.66,11.65,""
156,"525 PARKINSONS ROAD GLADYSDALE 3797","[145.63742876, -37.827258309085536]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.21,0.27,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.63,14.33,""
157,"95 HAZELDENE ROAD GLADYSDALE 3797","[145.6466106, -37.829393109085515]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.48,0.28,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,16.23,8.43,""
158,"35 ST BENEDICTS DRIVE GLADYSDALE 3797","[145.65320605999997, -37.8580047390853]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.3,0.31,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,15.03,10.48,""
159,"40 MCMASTERS ROAD GLADYSDALE 3797","[145.66378707499993, -37.82300184808555]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","true","false",0.41,0.07,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,17.27,10.92,""
160,"405 HAZELDENE ROAD GLADYSDALE 3797","[145.65550855, -37.85218777908536]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","true","false","false",0.28,0.19,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,18.32,5.42,""
161,"610 LITTLE YARRA ROAD GLADYSDALE 3797","[145.6554710599999, -37.82482417908559]","Considered.Evacuator","io.github.agentsoz.ees.agents.archetype.ConsideredEvacuator","false","false","false","false",0.15,0.35,0.3,0.4,0.5,0.6,0.4,0.103,0.184,0.337,0.358,0.2,0.1,0.5,13.54,11.5,""
